count;dept_id;team;load;conflict;trust;lead;auto;commit;quit;wb;sat
1;1;1;7,3;7,5;7,5;8,4;7,6;7,3;8;8,2;6,7
2;1;2;5,7;5,2;5,7;5,8;6,5;5,7;6,6;6;5,9
3;1;3;8,1;7,9;8,1;7,8;8,6;8,5;8,5;8,5;8,4
4;1;4;5,1;5;6,1;6;5,9;5,4;5,7;6,3;5,2
5;1;5;6,8;6;6,7;6,9;6,3;6,7;7,3;7;6,2
6;1;6;6,9;6,7;7,3;7,1;6,4;6,4;7,9;6,6;5,9
7;1;7;7,6;7;7,5;7,7;7,3;6,8;8,1;8,5;7,6
8;1;8;7,4;6,3;7;7,8;7;6,8;7,5;7,1;6,8
9;1;9;5,9;5,3;5,9;6,1;5,8;5,7;5,9;6,2;5,9
10;1;10;9,1;8,4;7,9;8,1;7,2;8,4;8,7;7,9;7,7
11;1;11;7,8;5,6;7,1;7,2;7,1;6,8;7,7;7,9;6,6
12;1;12;6,7;5,9;6,5;6,3;6,4;6,2;6,6;6,4;5,8
13;1;13;6,9;6,5;6,2;7,1;7,5;7,1;6,8;7,4;7
14;1;14;7,7;6,8;6,3;7,1;7,4;6,9;7,9;7,9;6,9
15;1;15;7,2;6,9;6,5;7,1;7,1;7,3;7;7,3;7,5
16;1;16;4,9;4,8;5,4;6,2;5,8;6;5,8;6,2;5,4
17;1;17;7;6,5;7,1;7,3;7,3;7,3;7,6;7,6;7
18;1;18;6,9;6,2;7,6;6,7;6,8;6,5;7,2;6,8;6,6
19;1;19;7,3;7;6,8;7,5;6,9;6,8;7,3;7,3;5,8
20;1;20;7,2;6,4;6,5;6,4;6,4;6,2;7,8;6,9;6,6
21;1;21;6,7;5,9;7;7,3;6,6;6,4;7,2;7;6,5
22;2;1;7,9;7,1;7,5;7,6;7,7;6,6;7,3;8;7,8
23;2;2;7,8;6,8;7,6;7,4;7,3;7,3;7,8;8,7;7,4
24;2;3;8,2;6,8;7,4;7,6;7,6;8,1;7,9;7,7;7,2
25;2;4;6,7;6,5;6,9;6,7;6,4;7,2;7,5;6,6;6,6
26;2;5;6,4;5,3;6,8;6,1;6;5,8;6,2;6,7;5,5
27;2;6;7,5;6,5;7,5;7,8;7,4;6,8;7,5;7,5;6,2
28;2;7;6,8;6;5,4;6,7;7,5;7,1;7,6;7,7;7,2
29;2;8;5,8;5;5,7;5,5;5,9;6,1;7,3;6,4;6,2
30;2;9;6,8;7,1;7,2;7,4;7,5;7,4;7,5;7,5;6,8
31;2;10;7;6;7,3;7,1;6,8;6,8;7,3;7,2;6,2
32;2;11;6,8;5,6;6,9;7;7,1;6,6;6;7,1;6,4
33;3;1;6,9;5,6;6,7;6,6;6,8;6,6;7,8;7,1;6,9
34;3;2;7,9;7;8,4;8,3;7,7;8;8,6;8,7;8,1
35;3;3;7,2;5,7;6,7;6,3;6,7;6,9;7,4;7,1;6,5
36;3;4;7,4;7,1;7,6;7,5;7,4;7,6;7,7;7,6;7,2
37;3;5;6,1;6;6,1;6,9;6,7;6,2;7;7,5;6,5
38;3;6;6,4;6,1;5,9;6,9;6,7;6,3;6,6;6,6;6,7
39;3;7;6,8;6,2;6,8;7,1;6,7;7,1;7,3;7;6,2
40;3;8;6,7;6,3;7,2;7,4;6,1;6,5;6,8;7,1;5,6
41;3;9;7,3;6,2;6,7;6,9;6,6;6,9;7,6;6,9;6,7
42;3;10;6,5;6,2;6,7;6,8;7;7,3;8;6,9;7
43;3;11;6,4;4,9;7,2;6,5;6,2;5,5;5,7;6,8;5,4
44;4;1;6,6;5,8;6,6;6,8;6,8;6,7;7,2;7,9;6,8
